Nombre Pelicula,Simon,Darian,Gaby,Stv,Rich
The Usual Suspects,10,-1,-1,-1,-1
Joker,7,9,8,8,6
The Profesor and the Madman,9,-1,-1,-1,-1
Doblemente Embarazada,1,-1,-1,0,3
Nosostros los Nobles,6,8,7,8,7
Cyrano my Love,8,-1,-1,-1,-1
The Gentlemen,8,8,-1,8,-1
Pirates of the Caribbean,9,7,9,9,8
Lord of the Rings: the two towers,10,-1,10,-1,10
The Shawshank Redemption,8,10,-1,-1,10
En busca de la felicidad,8,10,8,8,8
Pasante de Moda,7,8,8,9,8
Son como niños 2,5,10,9,-1,2
Los increíbles,7,10,10,6,8
Matilda,8,9,7,8,6
Amor en obras,-1,-1,5,-1,-1
Todo el día y una noche,-1,-1,-1,-1,-1
Focus,8,-1,8,-1,8
Inception,9,10,10,9,10
La vida es bella,9,10,10,9,9
300,8,-1,10,8,8
Los siete pecados capitales,10,-1,9,-1,8
Ralph el demoledor,7,-1,10,10,8
Nosotros,-1,-1,10,-1,-1
Lalaland,3,8,4,-1,3
Perdida,-1,10,9,-1,7
Grease,8,10,-1,7,4
Hugo,7,-1,-1,9,-1
The Impossible,6,-1,10,8,7
Ford vs Ferrari,9,10,-1,9,-1
the others,-1,-1,9,8,-1
cars 2,5,-1,7,6,-1
hacksaw ridge,7,-1,9,8,6
Tinker Tailor Soldier Spy,8,-1,-1,6,-1
El Hoyo,8,6,8,-1,-1
Parasites,8,10,9,-1,-1
Jojo Rabbit,9,10,10,10,-1
Invasion del Mundo: Batalla Los Angeles,6,-1,-1,-1,10
El Gran Truco,10,-1,-1,-1,10
Star Wars V,6,4,-1,-1,9
Star Wars III,3,4,-1,-1,9
Atrapame Si Puedes,8,-1,-1,-1,9
Arrival,8,-1,8,-1,10
El Arbol de la Vida,-1,-1,8,-1,1
Coco,2,8,8,7,9
Avengers: Endgame,8,10,8,8,10
10 Things I Hate About You,8,-1,9,8,5
Los Juegos del Hambre,4,5,8,7,8
Harry Potter y la Orden del Fenix,9,-1,9,6,9
The Rock,8,-1,-1,-1,9
La suma de todos los miedos,10,-1,-1,-1,9
The Hunt for Red October,8,-1,-1,-1,-1
Face/Off,7,-1,-1,-1,6
La leyenda del tesoro perdido,8,10,-1,8,7
El codigo Da Vinci,9,8,9,-1,8
La vuelta al mundo en 80 dias,7,-1,8,-1,8
007: Spectre,8,-1,8,7,8
Schindler's List,10,-1,10,-1,9
El curioso caso de Benjamin Button,9,-1,-1,8,7
Moneyball,8,-1,-1,-1,9
